sentiment_score,sentiment_label
2.5818236437658015e-11,负面
0.9985176671804616,正面
0.5217346010116856,正面
0.9999862432889988,正面
0.9999374770522799,正面
0.45536477551930254,负面
0.9904776428327416,正面
0.9754021156384562,正面
0.9404474685296774,正面
0.10441670052980256,负面
0.9979777617601757,正面
0.9456049773712566,正面
0.9998239480723727,正面
0.9999931348868387,正面
0.9907212897301414,正面
0.9999531917690685,正面
0.11039743900544818,负面
0.9999999907855183,正面
2.9498927966997712e-08,负面
0.36041017024564526,负面
0.9969995039124421,正面
0.9999991642948224,正面
0.9999866124169987,正面
0.8103455177522563,正面
0.5480273552488198,正面
0.9990847373822542,正面
0.9991856293224238,正面
0.7237956646401695,正面
0.9867343899046043,正面
0.9999997897250472,正面
0.9919537380610022,正面
0.9997871634243954,正面
0.9996891852312783,正面
0.48913202574998615,负面
0.5178453312248938,正面
0.999873616226648,正面
0.9852983841653465,正面
0.23561574240015715,负面
0.9905312325735214,正面
0.9985664332416546,正面
0.9588048702896472,正面
0.9999998770343392,正面
0.9349131831477901,正面
0.9550375204842615,正面
0.5577783353709558,正面
0.9737330385891154,正面
0.9673298530152378,正面
0.989974596987371,正面
0.9628196663647723,正面
0.9999920521030369,正面
0.9999999975842753,正面
0.7695556626926454,正面
0.9994807864900053,正面
0.996206565824897,正面
0.7075085417568642,正面
0.9961389658399744,正面
0.7784486443305648,正面
0.9986910034489838,正面
0.560000020697336,正面
0.9992687050001184,正面
0.962147134915855,正面
0.8522799932345759,正面
0.9996374378745342,正面
0.9650925525783922,正面
0.8412000115977017,正面
0.9452008220360403,正面
0.9851541576272937,正面
0.9993317652445978,正面
0.996886676771215,正面
0.9898846553771279,正面
0.17011106628675565,负面
0.9986382586017335,正面
0.948641524481639,正面
0.9995113975234555,正面
0.9999999999999973,正面
0.9984510984444711,正面
0.8458821161851465,正面
0.35464460758676175,负面
0.9972903849374559,正面
0.3142384443673354,负面
0.026863050172275083,负面
0.9999761080273781,正面
0.9599456286869007,正面
0.8723558243995143,正面
0.9881759933852338,正面
0.8100274061323179,正面
0.9995677054039993,正面
0.994104842964475,正面
0.9876952957135401,正面
0.7896345800877779,正面
0.9997180640919026,正面
0.8515346016727658,正面
0.9999890335506779,正面
0.9999999916948673,正面
0.970125326543678,正面
0.7234453124855619,正面
4.037932267431099e-05,负面
0.9881943268359605,正面
0.9464202365276454,正面
0.556914688211186,正面
0.894271981488358,正面
0.9999876549906311,正面
0.5472836895807203,正面
0.9948630992334043,正面
0.9701970287721402,正面
0.9979673327257491,正面
0.9839597024409333,正面
0.4433503097872119,负面
0.9910726133397653,正面
0.9180780753929341,正面
0.9690213925060354,正面
0.9451182213998337,正面
0.9953905767727464,正面
0.9999999977976561,正面
0.9992511137870729,正面
0.9434080822196578,正面
0.9991256289141477,正面
0.5716587756052275,正面
0.9955498627676314,正面
0.9973465178553917,正面
0.996824559488038,正面
0.9484393198782248,正面
0.9694407136981524,正面
0.9999952877980003,正面
0.9094159849997032,正面
0.7913567077892517,正面
1.0,正面
0.012155072915702614,负面
0.9999999882275413,正面
0.06372117901339713,负面
0.600888714099781,正面
4.063097177731123e-05,负面
2.1616486378661648e-11,负面
0.9921002000361604,正面
0.999788034965296,正面
0.9107669351463291,正面
0.9999990195428384,正面
0.9972457133254155,正面
0.9579470883057494,正面
0.9992535936661697,正面
0.9939389171725344,正面
0.2276577019128927,负面
0.36129670559938354,负面
0.9984528194782422,正面
0.9988195247795615,正面
0.9294518256035917,正面
0.9808377333269591,正面
0.8864846509071207,正面
4.0431761361148233e-07,负面
0.9941247194491218,正面
0.9997714222274775,正面
0.8080607665403935,正面
0.9910028773546112,正面
0.9999999999500218,正面
0.9998359871333874,正面
0.995028120026938,正面
0.9932076797525742,正面
0.054816308323773044,负面
0.9978658209180756,正面
0.8887091307604731,正面
0.8337069806575244,正面
0.9089577373469708,正面
0.310715099967666,负面
0.9767549979867737,正面
0.8912382181174229,正面
0.9845316240564698,正面
0.9996689773971401,正面
0.9999920345982716,正面
0.9989937044907657,正面
0.9999999343384546,正面
0.9999275010671662,正面
0.8786006979205578,正面
0.9995936895639677,正面
0.8467515273715274,正面
0.9057280888588234,正面
0.059750315483902416,负面
0.9502263797201078,正面
0.9999346167129297,正面
1.0726974863928262e-12,负面
0.9696745198751393,正面
0.9157552482072399,正面
0.803824942702844,正面
0.8023970355709942,正面
0.8628370419512458,正面
0.9665040069263482,正面
0.7888279014431825,正面
0.9944388423999202,正面
0.9744644285311802,正面
0.9085884879212548,正面
0.9926981473923827,正面
0.9794278802911738,正面
0.9991989366204794,正面
0.9999999999558917,正面
0.994361979726527,正面
0.9998506552372759,正面
0.5617938475711977,正面
0.9999619966083937,正面
0.9904160092023375,正面
0.8992227882302866,正面
0.3205625104404285,负面
0.9999996661793575,正面
0.9999819458862075,正面
0.9944750636743611,正面
0.7979326536320991,正面
0.9950941210425428,正面
0.9476655250671258,正面
0.9915416821722218,正面
0.9993437397432761,正面
0.9989174115901879,正面
0.999973015123745,正面
0.5940623507536712,正面
0.9892449436496944,正面
0.9953615972065528,正面
0.9941659750327787,正面
0.9871379045983232,正面
0.9165457364518964,正面
0.9583806026011841,正面
3.1204954444863375e-06,负面
0.8598494330827435,正面
0.9995576825270616,正面
0.7764627761140334,正面
0.9925382173281078,正面
0.9861698753258297,正面
0.9975459583034116,正面
0.9971055733058762,正面
0.23709980863602276,负面
0.9969080322719707,正面
0.2540020915233586,负面
0.7882020441849787,正面
0.999917676806142,正面
0.8206109593607314,正面
0.9395350103254871,正面
